name,ingredient_list,diet,flavor_profile,course,state,region,dish_text
kanji,"['carrot', 'yellow mustard', 'red chilli', 'black salt']",vegetarian,unknown,snack,kerala,south,kanji carrot yellow mustard red chilli black salt vegetarian unknown snack kerala south
kaara kozhambu,"['sesame oil', 'drumstick', 'tamarind paste', 'sambar powder', 'tomato']",vegetarian,spicy,main course,tamil nadu,south,kaara kozhambu sesame oil drumstick tamarind paste sambar powder tomato vegetarian spicy main course tamil nadu south
keerai kootu,"['moong dal', 'chana dal', 'spinach', 'urad dal', 'coconut oil']",vegetarian,spicy,main course,tamil nadu,south,keerai kootu moong dal chana dal spinach urad dal coconut oil vegetarian spicy main course tamil nadu south
keerai masiyal,"['urad dal', 'curry leaves', 'sugar', 'mustard seeds', 'spinach']",vegetarian,spicy,main course,tamil nadu,south,keerai masiyal urad dal curry leaves sugar mustard seeds spinach vegetarian spicy main course tamil nadu south
keerai sadam,"['greens', 'tomato', 'mustard seeds', 'fenugreek seeds']",vegetarian,spicy,main course,tamil nadu,south,keerai sadam greens tomato mustard seeds fenugreek seeds vegetarian spicy main course tamil nadu south
keerai poriyal,"['amaranth leaves', 'split urad dal', 'mustard seeds', 'grated coconut', 'red chili']",vegetarian,spicy,main course,tamil nadu,south,keerai poriyal amaranth leaves split urad dal mustard seeds grated coconut red chili vegetarian spicy main course tamil nadu south
beef fry,"['beef', 'coconut', 'garam masala', 'curry leaves', 'green chilies', 'chili powder']",non vegetarian,spicy,main course,kerala,south,beef fry beef coconut garam masala curry leaves green chilies chili powder non vegetarian spicy main course kerala south
kootu,"['chana dal', 'urad dal', 'potato', 'beans', 'peas']",vegetarian,spicy,main course,tamil nadu,south,kootu chana dal urad dal potato beans peas vegetarian spicy main course tamil nadu south
kos kootu,"['moong dal', 'chana dal', 'cabbage', 'tamarind', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,kos kootu moong dal chana dal cabbage tamarind curry leaves vegetarian spicy main course tamil nadu south
koshambri,"['moong dal', 'cucumber', 'curry leaves', 'green chili', 'lemon juice']",vegetarian,spicy,main course,karnataka,south,koshambri moong dal cucumber curry leaves green chili lemon juice vegetarian spicy main course karnataka south
kothamali sadam,"['chana dal', 'urad dal', 'gooseberry', 'raw rice', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,kothamali sadam chana dal urad dal gooseberry raw rice curry leaves vegetarian spicy main course tamil nadu south
kuzhakkattai,"['sesame oil', 'raw rice', 'jaggery', 'grated coconut']",vegetarian,spicy,main course,tamil nadu,south,kuzhakkattai sesame oil raw rice jaggery grated coconut vegetarian spicy main course tamil nadu south
kuzhambu,"['pearl onions', 'urad dal', 'drumsticks', 'tomato', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,kuzhambu pearl onions urad dal drumsticks tomato curry leaves vegetarian spicy main course tamil nadu south
masala dosa,"['chana dal', 'urad dal', 'potatoes', 'idli rice', 'thick poha']",vegetarian,spicy,snack,unknown,south,masala dosa chana dal urad dal potatoes idli rice thick poha vegetarian spicy snack unknown south
pachadi,"['coconut oil', 'cucumber', 'curd', 'curry leaves', 'mustard seeds']",vegetarian,unknown,main course,unknown,south,pachadi coconut oil cucumber curd curry leaves mustard seeds vegetarian unknown main course unknown south
paniyaram,"['yogurt', 'ginger', 'curry leaves', 'baking soda', 'green chilli']",vegetarian,unknown,main course,tamil nadu,south,paniyaram yogurt ginger curry leaves baking soda green chilli vegetarian unknown main course tamil nadu south
papadum,"['lentils', 'black pepper', 'vegetable oil']",vegetarian,spicy,snack,kerala,south,papadum lentils black pepper vegetable oil vegetarian spicy snack kerala south
paravannam,"['raw rice', 'jaggery', 'milk']",vegetarian,spicy,main course,kerala,south,paravannam raw rice jaggery milk vegetarian spicy main course kerala south
payasam,"['rice', 'cashew nuts', 'milk', 'raisins', 'sugar']",vegetarian,sweet,dessert,unknown,south,payasam rice cashew nuts milk raisins sugar vegetarian sweet dessert unknown south
paruppu sadam,"['arhar dal', 'sambar powder', 'tomato', 'curry leaves', 'fennel seeds']",vegetarian,unknown,main course,tamil nadu,south,paruppu sadam arhar dal sambar powder tomato curry leaves fennel seeds vegetarian unknown main course tamil nadu south
pesarattu,"['green moong beans', 'rice flour']",vegetarian,spicy,snack,andhra pradesh,south,pesarattu green moong beans rice flour vegetarian spicy snack andhra pradesh south
poriyal,"['chana dal', 'urad dal', 'beans', 'coconut', 'mustard']",vegetarian,spicy,main course,tamil nadu,south,poriyal chana dal urad dal beans coconut mustard vegetarian spicy main course tamil nadu south
puli sadam,"['urad dal', 'lemon', 'tamarind', 'cooked rice', 'curry leaves']",vegetarian,unknown,main course,tamil nadu,south,puli sadam urad dal lemon tamarind cooked rice curry leaves vegetarian unknown main course tamil nadu south
rasam,"['tomato', 'curry leaves', 'garlic', 'mustard seeds', 'hot water']",vegetarian,spicy,main course,unknown,south,rasam tomato curry leaves garlic mustard seeds hot water vegetarian spicy main course unknown south
puttu,"['brown rice flour', 'sugar', 'grated coconut']",vegetarian,unknown,main course,kerala,south,puttu brown rice flour sugar grated coconut vegetarian unknown main course kerala south
sambar,"['pigeon peas', 'eggplant', 'drumsticks', 'sambar powder', 'tamarind']",vegetarian,spicy,main course,unknown,south,sambar pigeon peas eggplant drumsticks sambar powder tamarind vegetarian spicy main course unknown south
sandige,"['thin rice flakes', 'black sesame seeds', 'curry leaves']",vegetarian,unknown,main course,karnataka,south,sandige thin rice flakes black sesame seeds curry leaves vegetarian unknown main course karnataka south
sevai,"['sevai', 'parboiled rice', 'steamer']",vegetarian,unknown,main course,unknown,south,sevai sevai parboiled rice steamer vegetarian unknown main course unknown south
thayir sadam,"['urad dal', 'curd', 'sesame oil', 'ginger', 'curry leaves', 'mustard seeds']",vegetarian,unknown,main course,tamil nadu,south,thayir sadam urad dal curd sesame oil ginger curry leaves mustard seeds vegetarian unknown main course tamil nadu south
theeyal,"['coconut', 'whole red beans', 'masala', 'sesame oil', 'tamarind']",vegetarian,unknown,main course,kerala,south,theeyal coconut whole red beans masala sesame oil tamarind vegetarian unknown main course kerala south
uttapam,"['chana dal', 'urad dal', 'thick poha', 'tomato', 'butter']",vegetarian,spicy,snack,unknown,south,uttapam chana dal urad dal thick poha tomato butter vegetarian spicy snack unknown south
vada,"['urad dal', 'ginger', 'curry leaves', 'green chilies', 'black pepper']",vegetarian,spicy,snack,unknown,south,vada urad dal ginger curry leaves green chilies black pepper vegetarian spicy snack unknown south
chicken varuval,"['meat curry powder', 'chicken chunks', 'ginger', 'tomato', 'cinnamon']",non vegetarian,spicy,main course,tamil nadu,south,chicken varuval meat curry powder chicken chunks ginger tomato cinnamon non vegetarian spicy main course tamil nadu south
upma,"['chana dal', 'urad dal', 'ginger', 'curry leaves', 'sugar']",vegetarian,spicy,snack,unknown,unknown,upma chana dal urad dal ginger curry leaves sugar vegetarian spicy snack unknown unknown
amti,"['kala masala', 'arhar dal', 'curry leaves', 'mustard seeds', 'hot water']",vegetarian,spicy,main course,maharashtra,west,amti kala masala arhar dal curry leaves mustard seeds hot water vegetarian spicy main course maharashtra west
zunka,"['gram flour', 'mustard', 'garlic', 'turmeric', 'red chilli']",vegetarian,spicy,main course,maharashtra,west,zunka gram flour mustard garlic turmeric red chilli vegetarian spicy main course maharashtra west
kolim jawla,"['baingan', 'fish', 'coconut oil', 'fresh coconut', 'ginger']",non vegetarian,spicy,main course,maharashtra,west,kolim jawla baingan fish coconut oil fresh coconut ginger non vegetarian spicy main course maharashtra west
saath,"['urad dal', 'potatoes', 'wheat flour', 'sooji']",vegetarian,spicy,main course,gujarat,west,saath urad dal potatoes wheat flour sooji vegetarian spicy main course gujarat west
bajri no rotlo,"['wheat flour', 'pearl millet flour', 'hot water']",vegetarian,spicy,main course,gujarat,west,bajri no rotlo wheat flour pearl millet flour hot water vegetarian spicy main course gujarat west
coconut vadi,"['condensed milk', 'mawa', 'desiccated coconut', 'almonds', 'cashews']",vegetarian,sweet,dessert,maharashtra,west,coconut vadi condensed milk mawa desiccated coconut almonds cashews vegetarian sweet dessert maharashtra west
bhakri,"['jowar flour', 'sesame seeds']",vegetarian,unknown,main course,maharashtra,west,bhakri jowar flour sesame seeds vegetarian unknown main course maharashtra west
bombil fry,"['bombay duck', 'malvani masala', 'rice flour', 'bombay rava', 'green chilies']",non vegetarian,spicy,main course,maharashtra,west,bombil fry bombay duck malvani masala rice flour bombay rava green chilies non vegetarian spicy main course maharashtra west
chakali,"['rice flour', 'sesame', 'plain flour', 'turmeric', 'red chilli']",vegetarian,spicy,snack,maharashtra,west,chakali rice flour sesame plain flour turmeric red chilli vegetarian spicy snack maharashtra west
chevdo,"['citric acid', 'fry', 'raisins', 'sugar', 'chana daal']",vegetarian,spicy,snack,gujarat,west,chevdo citric acid fry raisins sugar chana daal vegetarian spicy snack gujarat west
chorafali,"['urad dal', 'bengal gram flour', 'dried mango', 'baking soda', 'black salt']",vegetarian,spicy,snack,gujarat,west,chorafali urad dal bengal gram flour dried mango baking soda black salt vegetarian spicy snack gujarat west
copra paak,"['condensed milk', 'nestle cream', 'coconut ice', 'red food coloring', 'desiccated coconut']",vegetarian,unknown,main course,gujarat,west,copra paak condensed milk nestle cream coconut ice red food coloring desiccated coconut vegetarian unknown main course gujarat west
daal dhokli,"['whole wheat flour', 'dal', 'kokum', 'gur', 'bengal gram flour']",vegetarian,spicy,main course,gujarat,west,daal dhokli whole wheat flour dal kokum gur bengal gram flour vegetarian spicy main course gujarat west
kutchi dabeli,"['pav', 'aloo', 'peanut', 'pomegranate', 'star anise']",vegetarian,spicy,snack,gujarat,west,kutchi dabeli pav aloo peanut pomegranate star anise vegetarian spicy snack gujarat west
dahi vada,"['urad dal', 'bhuna chana', 'garam masala', 'dates', 'tamarind']",vegetarian,unknown,snack,maharashtra,west,dahi vada urad dal bhuna chana garam masala dates tamarind vegetarian unknown snack maharashtra west
dalithoy,"['arhar dal', 'coconut oil', 'curry leaves', 'mustard seeds', 'red chilli']",vegetarian,unknown,main course,maharashtra,west,dalithoy arhar dal coconut oil curry leaves mustard seeds red chilli vegetarian unknown main course maharashtra west
dhokla,"['rava', 'coconut', 'gram flour', 'mustard', 'sesame']",vegetarian,spicy,snack,gujarat,west,dhokla rava coconut gram flour mustard sesame vegetarian spicy snack gujarat west
dudhi halwa,"['bottle gourd', 'green', 'raisins', 'sugar', 'clarified butter']",vegetarian,sweet,dessert,gujarat,west,dudhi halwa bottle gourd green raisins sugar clarified butter vegetarian sweet dessert gujarat west
gatta curry,"['yogurt', 'besan', 'sauce', 'garam masala powder', 'gram flour']",vegetarian,spicy,main course,rajasthan,west,gatta curry yogurt besan sauce garam masala powder gram flour vegetarian spicy main course rajasthan west
gud papdi,"['wheat flour', 'jaggery', 'clarified butter', 'sliced almonds']",vegetarian,sweet,dessert,gujarat,west,gud papdi wheat flour jaggery clarified butter sliced almonds vegetarian sweet dessert gujarat west
ghooghra,"['dry fruits', 'semolina', 'all purpose flour']",vegetarian,spicy,snack,gujarat,west,ghooghra dry fruits semolina all purpose flour vegetarian spicy snack gujarat west
handwo,"['bottle gourd', 'chana dal', 'cabbage', 'urad dal', 'toor dal']",vegetarian,spicy,snack,gujarat,west,handwo bottle gourd chana dal cabbage urad dal toor dal vegetarian spicy snack gujarat west
halvasan,"['whole wheat rava', 'chia seed', 'lemon', 'edible gum', 'litre milk']",vegetarian,sweet,dessert,gujarat,west,halvasan whole wheat rava chia seed lemon edible gum litre milk vegetarian sweet dessert gujarat west
jeera aloo,"['green chilies', 'lemon juice', 'chili powder', 'boiled potatoes']",vegetarian,spicy,main course,gujarat,west,jeera aloo green chilies lemon juice chili powder boiled potatoes vegetarian spicy main course gujarat west
kansar,"['wheat flour', 'cashews', 'rapeseed oil']",vegetarian,unknown,main course,gujarat,west,kansar wheat flour cashews rapeseed oil vegetarian unknown main course gujarat west
keri no ras,"['mango', 'sugar']",vegetarian,sour,main course,gujarat,west,keri no ras mango sugar vegetarian sour main course gujarat west
khakhra,"['whole wheat flour', 'low fat', 'bengal gram flour']",vegetarian,spicy,snack,gujarat,west,khakhra whole wheat flour low fat bengal gram flour vegetarian spicy snack gujarat west
khandvi,"['green chili paste', 'white sesame seeds', 'gram flour', 'curry leaves', 'green chili']",vegetarian,spicy,snack,gujarat,west,khandvi green chili paste white sesame seeds gram flour curry leaves green chili vegetarian spicy snack gujarat west
kombdi vade,"['rice flour', 'urad dal', 'wheat flour', 'gram flour', 'turmeric']",vegetarian,spicy,snack,maharashtra,west,kombdi vade rice flour urad dal wheat flour gram flour turmeric vegetarian spicy snack maharashtra west
laapsi,"['cinnamon', 'jaggery', 'clarified butter', 'dry roasted']",vegetarian,spicy,main course,madhya pradesh,central,laapsi cinnamon jaggery clarified butter dry roasted vegetarian spicy main course madhya pradesh central
koshimbir,"['cucumber', 'carrot', 'tomatoes', 'cilantro']",vegetarian,spicy,main course,maharashtra,west,koshimbir cucumber carrot tomatoes cilantro vegetarian spicy main course maharashtra west
methi na gota,"['rava', 'gram flour', 'lemon juice', 'turmeric', 'fenugreek leaves']",vegetarian,bitter,main course,gujarat,west,methi na gota rava gram flour lemon juice turmeric fenugreek leaves vegetarian bitter main course gujarat west
mohanthal,"['rose water', 'pistachio', 'badam', 'bengal gram flour', 'saffron']",vegetarian,sweet,dessert,gujarat,west,mohanthal rose water pistachio badam bengal gram flour saffron vegetarian sweet dessert gujarat west
muthiya,"['bottle gourd', 'whole wheat flour', 'rava', 'sesame seeds', 'bengal gram flour']",vegetarian,bitter,snack,gujarat,west,muthiya bottle gourd whole wheat flour rava sesame seeds bengal gram flour vegetarian bitter snack gujarat west
patra,"['arbi ke patte', 'sesame seeds', 'gur', 'bengal gram flour', 'imli']",vegetarian,spicy,snack,gujarat,west,patra arbi ke patte sesame seeds gur bengal gram flour imli vegetarian spicy snack gujarat west
pav bhaji,"['pav bhaji masala', 'gobi', 'potatoes', 'green peas', 'dinner rolls']",vegetarian,spicy,main course,maharashtra,west,pav bhaji pav bhaji masala gobi potatoes green peas dinner rolls vegetarian spicy main course maharashtra west
puri bhaji,"['aloo', 'urad dal', 'mustard', 'ginger', 'curry leaves']",vegetarian,spicy,main course,maharashtra,west,puri bhaji aloo urad dal mustard ginger curry leaves vegetarian spicy main course maharashtra west
sabudana khichadi,"['raw peanuts', 'sabudana', 'lemon', 'avocado oil', 'curry leaves', 'green chili']",vegetarian,spicy,snack,maharashtra,west,sabudana khichadi raw peanuts sabudana lemon avocado oil curry leaves green chili vegetarian spicy snack maharashtra west
sev khamani,"['khaman', 'pomegranate', 'sev', 'powdered sugar', 'garlic']",vegetarian,spicy,main course,gujarat,west,sev khamani khaman pomegranate sev powdered sugar garlic vegetarian spicy main course gujarat west
sev tameta,"['sev', 'ginger', 'tomato', 'sugar']",vegetarian,spicy,main course,gujarat,west,sev tameta sev ginger tomato sugar vegetarian spicy main course gujarat west
namakpara,"['wheat flour', 'baking soda', 'all purpose flour', 'black pepper', 'sunflower oil']",vegetarian,spicy,snack,gujarat,west,namakpara wheat flour baking soda all purpose flour black pepper sunflower oil vegetarian spicy snack gujarat west
sukhdi,"['whole wheat flour', 'gur', 'clarified butter']",vegetarian,sweet,dessert,maharashtra,west,sukhdi whole wheat flour gur clarified butter vegetarian sweet dessert maharashtra west
surnoli,"['rice flakes', 'yogurt', 'raw rice', 'jaggery', 'grated coconut']",vegetarian,spicy,snack,maharashtra,west,surnoli rice flakes yogurt raw rice jaggery grated coconut vegetarian spicy snack maharashtra west
thalipeeth,"['whole wheat flour', 'rice flour', 'pearl millet flour', 'sorghum flour', 'sesame seeds']",vegetarian,spicy,main course,maharashtra,west,thalipeeth whole wheat flour rice flour pearl millet flour sorghum flour sesame seeds vegetarian spicy main course maharashtra west
undhiyu,"['sweet potato', 'surti papdi', 'baby potatoes', 'valor papdi', 'green peas']",vegetarian,spicy,main course,gujarat,west,undhiyu sweet potato surti papdi baby potatoes valor papdi green peas vegetarian spicy main course gujarat west
veg kolhapuri,"['gobi', 'potato', 'beans', 'khus khus', 'coconut']",vegetarian,spicy,main course,maharashtra,west,veg kolhapuri gobi potato beans khus khus coconut vegetarian spicy main course maharashtra west
vindaloo,"['chicken', 'coconut oil', 'wine vinegar', 'ginger', 'green', 'cinnamon']",non vegetarian,spicy,main course,goa,west,vindaloo chicken coconut oil wine vinegar ginger green cinnamon non vegetarian spicy main course goa west
lilva kachori,"['green garlic chutney', 'fresh green peas', 'ginger', 'lemon juice', 'plain flour']",vegetarian,spicy,snack,gujarat,west,lilva kachori green garlic chutney fresh green peas ginger lemon juice plain flour vegetarian spicy snack gujarat west
mag dhokli,"['moong beans', 'jaggery', 'red chillies', 'oil', 'salt']",vegetarian,spicy,snack,gujarat,west,mag dhokli moong beans jaggery red chillies oil salt vegetarian spicy snack gujarat west
khichu,"['rice flour', 'sesame seeds', 'baking soda', 'peanut oil']",vegetarian,spicy,snack,gujarat,west,khichu rice flour sesame seeds baking soda peanut oil vegetarian spicy snack gujarat west
thepla,"['chickpea flour', 'methi leaves', 'jowar flour', 'wheat flour']",vegetarian,spicy,snack,gujarat,west,thepla chickpea flour methi leaves jowar flour wheat flour vegetarian spicy snack gujarat west
farsi puri,"['semolina', 'clarified butter', 'oil', 'white flour', 'black pepper']",vegetarian,unknown,snack,gujarat,west,farsi puri semolina clarified butter oil white flour black pepper vegetarian unknown snack gujarat west
khaman,"['yogurt', 'fresh coconut', 'sesame seeds', 'semolina', 'gram flour']",vegetarian,spicy,snack,gujarat,west,khaman yogurt fresh coconut sesame seeds semolina gram flour vegetarian spicy snack gujarat west
turiya patra vatana sabji,"['ridge gourd', 'baking soda', 'sugar', 'grated coconut', 'peas']",vegetarian,spicy,main course,gujarat,west,turiya patra vatana sabji ridge gourd baking soda sugar grated coconut peas vegetarian spicy main course gujarat west
churma ladoo,"['whole wheat flour', 'khus khus', 'sesame seeds', 'dry coconut', 'gur']",vegetarian,sweet,dessert,rajasthan,west,churma ladoo whole wheat flour khus khus sesame seeds dry coconut gur vegetarian sweet dessert rajasthan west
cheera doi,"['rice', 'mango', 'curd']",vegetarian,sweet,dessert,west bengal,east,cheera doi rice mango curd vegetarian sweet dessert west bengal east
gheela pitha,"['sticky rice', 'rice flour', 'jaggery', 'orange rind']",vegetarian,sweet,dessert,assam,north east,gheela pitha sticky rice rice flour jaggery orange rind vegetarian sweet dessert assam north east
khar,"['raw papaya', 'panch phoran masala', 'nigella seeds', 'mustard oil', 'fennel seeds']",vegetarian,unknown,main course,assam,north east,khar raw papaya panch phoran masala nigella seeds mustard oil fennel seeds vegetarian unknown main course assam north east
kumol sawul,"['rice', 'eggs', 'carrot', 'beetroot']",non vegetarian,spicy,main course,assam,north east,kumol sawul rice eggs carrot beetroot non vegetarian spicy main course assam north east
luchi,"['maida', 'vegetable oil']",vegetarian,unknown,main course,west bengal,east,luchi maida vegetable oil vegetarian unknown main course west bengal east
alu pitika,"['potatoes', 'mustard oil', 'fish', 'green chillies']",non vegetarian,spicy,main course,assam,north east,alu pitika potatoes mustard oil fish green chillies non vegetarian spicy main course assam north east
masor tenga,"['ridge gourd', 'fish', 'lemon', 'tomatoes', 'mustard oil']",non vegetarian,spicy,main course,assam,north east,masor tenga ridge gourd fish lemon tomatoes mustard oil non vegetarian spicy main course assam north east
bengena pitika,"['brinjal', 'onions', 'salt', 'sesame seeds', 'coriander']",vegetarian,unknown,main course,assam,north east,bengena pitika brinjal onions salt sesame seeds coriander vegetarian unknown main course assam north east
bilahi maas,"['potatoes', 'garam masala', 'tomatoes', 'mustard oil', 'bay leaf']",non vegetarian,unknown,main course,assam,north east,bilahi maas potatoes garam masala tomatoes mustard oil bay leaf non vegetarian unknown main course assam north east
black rice,"['forbidden black rice', 'chicken', 'olive oil', 'slivered almonds', 'garlic powder']",non vegetarian,unknown,main course,manipur,north east,black rice forbidden black rice chicken olive oil slivered almonds garlic powder non vegetarian unknown main course manipur north east
bora sawul,"['biryani masala', 'mixed vegetables', 'yellow moong daal', 'whole red', 'mustard seeds']",vegetarian,spicy,main course,assam,north east,bora sawul biryani masala mixed vegetables yellow moong daal whole red mustard seeds vegetarian spicy main course assam north east
brown rice,"['brown rice', 'soy sauce', 'olive oil']",vegetarian,unknown,main course,unknown,unknown,brown rice brown rice soy sauce olive oil vegetarian unknown main course unknown unknown
chingri malai curry,"['coconut milk', 'lobster', 'fresh green chilli', 'ginger', 'red onion']",non vegetarian,spicy,main course,west bengal,east,chingri malai curry coconut milk lobster fresh green chilli ginger red onion non vegetarian spicy main course west bengal east
goja,"['baking soda', 'clarified butter', 'oil', 'all purpose flour']",vegetarian,sweet,dessert,west bengal,east,goja baking soda clarified butter oil all purpose flour vegetarian sweet dessert west bengal east
hando guri,"['jaggery', 'raisins']",vegetarian,sweet,dessert,assam,north east,hando guri jaggery raisins vegetarian sweet dessert assam north east
haq maas,"['lamb', 'garam masala powder', 'curd', 'turmeric', 'bay leaf']",non vegetarian,spicy,main course,assam,north east,haq maas lamb garam masala powder curd turmeric bay leaf non vegetarian spicy main course assam north east
chingri bhape,"['coconut', 'prawns', 'curd', 'mustard seed', 'green chili']",non vegetarian,unknown,main course,west bengal,east,chingri bhape coconut prawns curd mustard seed green chili non vegetarian unknown main course west bengal east
kabiraji,"['fish fillet', 'besan', 'lemon', 'mint', 'ginger']",non vegetarian,spicy,main course,west bengal,east,kabiraji fish fillet besan lemon mint ginger non vegetarian spicy main course west bengal east
khorisa,"['fermented bamboo shoot', 'potato', 'ginger', 'green', 'mustard oil']",vegetarian,spicy,main course,assam,north east,khorisa fermented bamboo shoot potato ginger green mustard oil vegetarian spicy main course assam north east
koldil chicken,"['banana flower', 'chicken', 'green chili', 'mustard oil', 'lemon juice']",non vegetarian,spicy,main course,assam,north east,koldil chicken banana flower chicken green chili mustard oil lemon juice non vegetarian spicy main course assam north east
konir dom,"['aloo', 'tomatoes', 'mustard oil', 'bay leaf', 'cinnamon stick']",non vegetarian,spicy,main course,assam,north east,konir dom aloo tomatoes mustard oil bay leaf cinnamon stick non vegetarian spicy main course assam north east
koldil duck,"['rice flour', 'mutton', 'banana', 'gram flour', 'olive oil', 'baking powder']",non vegetarian,spicy,main course,assam,north east,koldil duck rice flour mutton banana gram flour olive oil baking powder non vegetarian spicy main course assam north east
masor koni,"['fish roe', 'pumpkin flowers', 'mustard oil', 'turmeric', 'tomato']",non vegetarian,spicy,main course,assam,north east,masor koni fish roe pumpkin flowers mustard oil turmeric tomato non vegetarian spicy main course assam north east
mishti chholar dal,"['chana dal', 'fresh coconut', 'ginger', 'cinnamon', 'raisins']",vegetarian,sweet,main course,west bengal,east,mishti chholar dal chana dal fresh coconut ginger cinnamon raisins vegetarian sweet main course west bengal east
pakhala,"['curd', 'cooked rice', 'curry leaves', 'dry chilli']",vegetarian,unknown,main course,odisha,east,pakhala curd cooked rice curry leaves dry chilli vegetarian unknown main course odisha east
pani pitha,"['tea leaves', 'white sesame seeds', 'dry coconut', 'soaked rice']",vegetarian,unknown,main course,assam,north east,pani pitha tea leaves white sesame seeds dry coconut soaked rice vegetarian unknown main course assam north east
payokh,"['basmati rice', 'rose water', 'sugar', 'clarified butter', 'cardamom pods']",vegetarian,sweet,dessert,assam,north east,payokh basmati rice rose water sugar clarified butter cardamom pods vegetarian sweet dessert assam north east
prawn malai curry,"['coconut milk', 'prawns', 'garlic', 'turmeric', 'sugar']",non vegetarian,spicy,main course,west bengal,east,prawn malai curry coconut milk prawns garlic turmeric sugar non vegetarian spicy main course west bengal east
red rice,"['red pepper', 'red onion', 'butter', 'watercress', 'olive oil']",vegetarian,unknown,main course,unknown,unknown,red rice red pepper red onion butter watercress olive oil vegetarian unknown main course unknown unknown
shukto,"['green beans', 'bitter gourd', 'ridge gourd', 'banana', 'brinjal']",vegetarian,spicy,main course,west bengal,east,shukto green beans bitter gourd ridge gourd banana brinjal vegetarian spicy main course west bengal east
til pitha,"['glutinous rice', 'black sesame seeds', 'gur']",vegetarian,sweet,dessert,assam,north east,til pitha glutinous rice black sesame seeds gur vegetarian sweet dessert assam north east
bebinca,"['coconut milk', 'egg yolks', 'clarified butter', 'all purpose flour']",vegetarian,sweet,dessert,goa,west,bebinca coconut milk egg yolks clarified butter all purpose flour vegetarian sweet dessert goa west
shufta,"['cottage cheese', 'dry dates', 'dried rose petals', 'pistachio', 'badam']",vegetarian,sweet,dessert,jammu kashmir,north,shufta cottage cheese dry dates dried rose petals pistachio badam vegetarian sweet dessert jammu kashmir north
mawa bati,"['milk powder', 'dry fruits', 'arrowroot powder', 'all purpose flour']",vegetarian,sweet,dessert,madhya pradesh,central,mawa bati milk powder dry fruits arrowroot powder all purpose flour vegetarian sweet dessert madhya pradesh central
pinaca,"['brown rice', 'fennel seeds', 'grated coconut', 'black pepper', 'ginger powder']",vegetarian,sweet,dessert,goa,west,pinaca brown rice fennel seeds grated coconut black pepper ginger powder vegetarian sweet dessert goa west
